datetime,Date,Hour,Station,demand,temp,rhum,prcp,wspd,pres,cldc,coco,day_of_week,is_weekend,is_public_holiday,is_major_city_event,is_working_day_proxy,is_day_before_public_holiday,is_day_after_public_holiday,demand_lag_1h,demand_lag_2h,demand_lag_3h,demand_lag_24h,demand_lag_168h,target_next_hour,rolling_mean_3h,rolling_mean_6h,rolling_mean_24h,day_of_week_num,month_num,hour_sin,hour_cos
2025-09-30 10:00:00,2025-09-30,10,Hosa Road,314,28.0,47,0.0,19.8,1006.4,7,3.0,Tuesday,0,0,0,1,0,0,375.0,414.0,236.0,279.0,248.0,238.0,334.75,202.57142857142858,147.24,1,9,0.49999999999999994,-0.8660254037844387
2025-09-30 11:00:00,2025-09-30,11,Hosa Road,238,27.8,47,0.0,17.6,1006.1,8,3.0,Tuesday,0,0,0,1,0,0,314.0,375.0,414.0,184.0,219.0,219.0,335.25,236.57142857142858,145.6,1,9,0.258819045102521,-0.9659258262890682
2025-09-30 12:00:00,2025-09-30,12,Hosa Road,219,26.8,50,0.0,14.0,1006.5,8,3.0,Tuesday,0,0,0,1,0,0,238.0,314.0,375.0,199.0,165.0,237.0,286.5,266.85714285714283,147.0,1,9,1.2246467991473532e-16,-1.0
2025-09-30 13:00:00,2025-09-30,13,Hosa Road,237,25.4,59,0.0,14.0,1007.6,8,3.0,Tuesday,0,0,0,1,0,0,219.0,238.0,314.0,160.0,156.0,181.0,252.0,290.42857142857144,148.52,1,9,-0.2588190451025208,-0.9659258262890683
2025-09-30 14:00:00,2025-09-30,14,Hosa Road,181,24.3,66,0.0,16.2,1009.0,8,3.0,Tuesday,0,0,0,1,0,0,237.0,219.0,238.0,143.0,132.0,208.0,218.75,282.57142857142856,149.36,1,9,-0.4999999999999997,-0.8660254037844388
2025-09-30 15:00:00,2025-09-30,15,Hosa Road,208,23.2,73,0.0,16.9,1010.2,8,3.0,Tuesday,0,0,0,1,0,0,181.0,237.0,219.0,148.0,117.0,262.0,211.25,253.14285714285714,151.96,1,9,-0.7071067811865471,-0.7071067811865479
2025-09-30 16:00:00,2025-09-30,16,Hosa Road,262,22.2,78,0.0,16.2,1011.0,8,3.0,Tuesday,0,0,0,1,0,0,208.0,181.0,237.0,182.0,153.0,260.0,222.0,237.0,156.52,1,9,-0.8660254037844385,-0.5000000000000004
2025-09-30 17:00:00,2025-09-30,17,Hosa Road,260,21.5,82,0.0,15.5,1011.4,8,3.0,Tuesday,0,0,0,1,0,0,262.0,208.0,181.0,200.0,188.0,384.0,227.75,229.28571428571428,159.64,1,9,-0.9659258262890683,-0.25881904510252063
2025-09-30 18:00:00,2025-09-30,18,Hosa Road,384,21.0,84,0.0,14.8,1010.9,8,3.0,Tuesday,0,0,0,1,0,0,260.0,262.0,208.0,239.0,240.0,352.0,278.5,250.14285714285714,167.0,1,9,-1.0,-1.8369701987210297e-16
2025-09-30 19:00:00,2025-09-30,19,Hosa Road,352,20.5,87,0.0,13.7,1010.1,8,3.0,Tuesday,0,0,0,1,0,0,384.0,260.0,262.0,208.0,199.0,275.0,314.5,269.14285714285717,171.52,1,9,-0.9659258262890684,0.2588190451025203
2025-09-30 20:00:00,2025-09-30,20,Hosa Road,275,20.1,89,0.0,14.0,1009.4,8,3.0,Tuesday,0,0,0,1,0,0,352.0,384.0,260.0,166.0,98.0,198.0,317.75,274.57142857142856,174.2,1,9,-0.8660254037844386,0.5000000000000001
2025-09-30 21:00:00,2025-09-30,21,Hosa Road,198,19.7,91,0.0,12.6,1009.1,8,3.0,Tuesday,0,0,0,1,0,0,275.0,352.0,384.0,95.0,68.0,62.0,302.25,277.0,175.48,1,9,-0.7071067811865477,0.7071067811865474
2025-09-30 22:00:00,2025-09-30,22,Hosa Road,62,19.4,93,0.0,13.7,1008.7,8,3.0,Tuesday,0,0,0,1,0,0,198.0,275.0,352.0,57.0,20.0,6.0,221.75,256.14285714285717,174.16,1,9,-0.5000000000000004,0.8660254037844384
2025-08-11 00:00:00,2025-08-11,0,Huskur Road,0,20.0,98,0.1,3.6,1011.6,7,7.0,Monday,0,0,0,1,0,0,,,,,,0.0,0.0,0.0,0.0,0,8,0.0,1.0
2025-08-11 01:00:00,2025-08-11,1,Huskur Road,0,19.3,98,0.2,14.0,1012.1,8,7.0,Monday,0,0,0,1,0,0,0.0,,,,,0.0,0.0,0.0,0.0,0,8,0.25881904510252074,0.9659258262890683
2025-08-11 02:00:00,2025-08-11,2,Huskur Road,0,19.6,97,0.9,14.4,1013.1,8,8.0,Monday,0,0,0,1,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0,8,0.49999999999999994,0.8660254037844387
2025-08-11 03:00:00,2025-08-11,3,Huskur Road,0,20.2,96,0.5,3.6,1013.6,7,8.0,Monday,0,0,0,1,0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0,8,0.7071067811865476,0.7071067811865476
2025-08-11 04:00:00,2025-08-11,4,Huskur Road,0,22.0,84,0.0,16.9,1013.4,8,3.0,Monday,0,0,0,1,0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0,8,0.8660254037844386,0.5000000000000001
2025-08-11 05:00:00,2025-08-11,5,Huskur Road,0,23.7,77,0.0,16.9,1013.0,8,3.0,Monday,0,0,0,1,0,0,0.0,0.0,0.0,,,17.0,0.0,0.0,0.0,0,8,0.9659258262890683,0.25881904510252074
2025-08-11 06:00:00,2025-08-11,6,Huskur Road,17,23.8,85,0.0,5.4,1012.3,6,3.0,Monday,0,0,0,1,0,0,0.0,0.0,0.0,,,57.0,4.25,2.4285714285714284,2.4285714285714284,0,8,1.0,6.123233995736766e-17
