station,MAE,Mean_Error,Mean_Actual,Count
South End Circle,42.87806320277064,-1.7095405522820561,354.63255813953486,215
Jayanagar,42.37512867298237,0.4844003043895544,564.9255813953488,215
Yelachenahalli,42.25189355029616,5.448035847932793,415.1209302325581,215
Nallurahalli,42.23063878313054,6.087331439520037,355.0,215
Challaghatta,42.09439208172695,1.4838947542055054,280.6279069767442,215
Goraguntepalya,42.05353301916011,6.211565956265427,327.5813953488372,215
Swami Vivekananda Road,41.85423690311091,9.884256783119122,379.553488372093,215
Singayyanapalya,41.76331916694031,9.733469523316206,339.6232558139535,215
Nagasandra,41.43038259803556,-3.844662765049657,458.8279069767442,215
Halasuru,41.290117610523176,2.264776638132888,387.6279069767442,215
Sri Sathya Sai Hospital,40.01091594851987,15.267943391931611,387.12558139534883,215
Jaya Prakash Nagar,39.24112354279604,-4.298283572650926,428.66511627906976,215
Rajajinagar,37.11922281845364,1.822685429627119,481.0511627906977,215
Garudacharpalya,36.7188856587507,0.9584078342762105,332.0883720930233,215
Kengeri Bus Terminal,36.55599336145922,4.327444672030071,324.95813953488374,215
Delta Electronics Bommasandra,36.28255530037852,-6.006131292810274,285.29767441860463,215
Attiguppe,36.185822339459904,8.37195412759171,360.90232558139536,215
Rashtreeya Vidyalaya Road,35.29867790961681,0.437770816995654,355.0186046511628,215
Magadi Road,34.50185016899608,4.448147483967071,316.6744186046512,215
Infosys Foundation Konappana Agrahara,34.056684936063235,7.6198501837808035,263.8511627906977,215
Hoodi,33.175550642886826,2.035781110927116,300.30697674418604,215
Vijayanagar,32.46496441710827,0.43197476947030355,511.48837209302326,215
Kengeri,32.206726453951454,5.119415516982418,252.56279069767442,215
Lalbagh,31.540939717722495,-1.3394658767206724,274.72093023255815,215
"Sri Balagangadharanatha Swamiji Station, Hosahalli",31.528099129574244,4.829098700298819,427.8139534883721,215
Vajarahalli,31.1409960388964,1.7825460767849932,243.10697674418606,215
Rajarajeshwari Nagar,30.193095098851725,4.014185304385285,255.91162790697675,215
Mysore Road,29.032202959753747,0.4142796494239985,289.48372093023255,215
Kudlu Gate,28.741466779049574,-2.433759893212727,156.8,215
Srirampura,27.583124917364398,-1.1616635181876116,258.68837209302325,215
Bommanahalli,25.776829582314157,0.023422091367632843,181.73953488372092,215
Jayadeva Hospital,25.441369556167793,3.9957373068083166,207.69302325581396,215
Jnanabharathi,25.339138471525768,6.572549613963726,189.75813953488372,215
Electronic City,25.209766692200372,0.3171854586102242,162.08837209302325,215
Central Silk Board,25.147498002323474,3.736595839933427,219.3813953488372,215
Doddakallasandra,25.033347163795558,5.327809853726175,224.32558139534885,215
Peenya,23.929526732303202,1.7704178171838785,180.78604651162792,215
Hosa Road,23.88345943990835,1.3221347688588985,154.13953488372093,215
Mahakavi Kuvempu Road,23.78810234601761,4.048210499504971,240.0186046511628,215
Deepanjali Nagar,22.278417380414037,5.705290268413549,190.04651162790697,215
Hopefarm Channasandra,21.68845297735791,7.582403170230776,112.70697674418605,215
Hongasandra,20.740888048639132,-4.545383215401062,131.3953488372093,215
BTM Layout,20.0344380882547,1.1114919219555897,167.73023255813953,215
Chikkabidarakallu,19.99176845630241,3.1061002281862637,175.29767441860466,215
Pantharapalya - Nayandahalli,19.322619557883158,3.7559555036210734,96.86976744186046,215
Huskur Road,19.321003537555768,0.17790555619569712,102.15348837209302,215
Peenya Industry,18.769846111432063,4.223244661751181,100.11162790697675,215
Thalaghattapura,17.975532387994058,2.401502895216609,123.97674418604652,215
Ragigudda,16.256838527404117,-0.787336666072004,99.61395348837209,215
Biocon Hebbagodi,15.695345055428875,-2.251692270327273,71.36744186046512,215
Singasandra,13.936506169718193,0.6801522195729058,65.64651162790697,215
Manjunathanagara,12.724476169465586,3.296730926944766,51.776744186046514,215
Beratena Agrahara,12.503067634549252,0.5691616443700569,35.632558139534886,215
