datetime,Date,station,target_next_hour,Hour,day_of_week_num,month_num,hour_sin,hour_cos,is_weekend,is_public_holiday,is_major_city_event,is_working_day_proxy,is_day_before_public_holiday,is_day_after_public_holiday
2025-09-06 07:00:00,2025-09-06,Hosa Road,271.0,7,5,9,0.9659258262890683,-0.25881904510252063,1,0,1,0,0,1
2025-09-06 08:00:00,2025-09-06,Hosa Road,293.0,8,5,9,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,1
2025-09-06 09:00:00,2025-09-06,Hosa Road,355.0,9,5,9,0.7071067811865476,-0.7071067811865475,1,0,1,0,0,1
2025-09-06 10:00:00,2025-09-06,Hosa Road,360.0,10,5,9,0.49999999999999994,-0.8660254037844387,1,0,1,0,0,1
2025-09-06 11:00:00,2025-09-06,Hosa Road,278.0,11,5,9,0.258819045102521,-0.9659258262890682,1,0,1,0,0,1
2025-09-06 12:00:00,2025-09-06,Hosa Road,231.0,12,5,9,1.2246467991473532e-16,-1.0,1,0,1,0,0,1
2025-09-06 13:00:00,2025-09-06,Hosa Road,246.0,13,5,9,-0.2588190451025208,-0.9659258262890683,1,0,1,0,0,1
2025-09-06 14:00:00,2025-09-06,Hosa Road,251.0,14,5,9,-0.4999999999999997,-0.8660254037844388,1,0,1,0,0,1
2025-09-06 15:00:00,2025-09-06,Hosa Road,298.0,15,5,9,-0.7071067811865471,-0.7071067811865479,1,0,1,0,0,1
2025-09-06 16:00:00,2025-09-06,Hosa Road,207.0,16,5,9,-0.8660254037844385,-0.5000000000000004,1,0,1,0,0,1
2025-09-06 17:00:00,2025-09-06,Hosa Road,276.0,17,5,9,-0.9659258262890683,-0.25881904510252063,1,0,1,0,0,1
2025-09-06 18:00:00,2025-09-06,Hosa Road,223.0,18,5,9,-1.0,-1.8369701987210297e-16,1,0,1,0,0,1
2025-09-06 19:00:00,2025-09-06,Hosa Road,174.0,19,5,9,-0.9659258262890684,0.2588190451025203,1,0,1,0,0,1
2025-09-06 20:00:00,2025-09-06,Hosa Road,114.0,20,5,9,-0.8660254037844386,0.5000000000000001,1,0,1,0,0,1
2025-09-06 21:00:00,2025-09-06,Hosa Road,51.0,21,5,9,-0.7071067811865477,0.7071067811865474,1,0,1,0,0,1
2025-09-06 22:00:00,2025-09-06,Hosa Road,0.0,22,5,9,-0.5000000000000004,0.8660254037844384,1,0,1,0,0,1
2025-09-06 23:00:00,2025-09-06,Hosa Road,0.0,23,5,9,-0.25881904510252157,0.9659258262890681,1,0,1,0,0,1
2025-09-07 00:00:00,2025-09-07,Hosa Road,0.0,0,6,9,0.0,1.0,1,0,0,0,0,0
2025-09-07 01:00:00,2025-09-07,Hosa Road,0.0,1,6,9,0.25881904510252074,0.9659258262890683,1,0,0,0,0,0
2025-09-07 02:00:00,2025-09-07,Hosa Road,0.0,2,6,9,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0
2025-09-07 03:00:00,2025-09-07,Hosa Road,0.0,3,6,9,0.7071067811865476,0.7071067811865476,1,0,0,0,0,0
2025-09-07 04:00:00,2025-09-07,Hosa Road,0.0,4,6,9,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0
2025-09-07 05:00:00,2025-09-07,Hosa Road,1.0,5,6,9,0.9659258262890683,0.25881904510252074,1,0,0,0,0,0
2025-09-07 06:00:00,2025-09-07,Hosa Road,83.0,6,6,9,1.0,6.123233995736766e-17,1,0,0,0,0,0
2025-09-07 07:00:00,2025-09-07,Hosa Road,114.0,7,6,9,0.9659258262890683,-0.25881904510252063,1,0,0,0,0,0
2025-09-07 08:00:00,2025-09-07,Hosa Road,218.0,8,6,9,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0
2025-09-07 09:00:00,2025-09-07,Hosa Road,329.0,9,6,9,0.7071067811865476,-0.7071067811865475,1,0,0,0,0,0
2025-09-07 10:00:00,2025-09-07,Hosa Road,381.0,10,6,9,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0
2025-09-07 11:00:00,2025-09-07,Hosa Road,326.0,11,6,9,0.258819045102521,-0.9659258262890682,1,0,0,0,0,0
2025-09-07 12:00:00,2025-09-07,Hosa Road,301.0,12,6,9,1.2246467991473532e-16,-1.0,1,0,0,0,0,0
2025-09-07 13:00:00,2025-09-07,Hosa Road,252.0,13,6,9,-0.2588190451025208,-0.9659258262890683,1,0,0,0,0,0
2025-09-07 14:00:00,2025-09-07,Hosa Road,296.0,14,6,9,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0
2025-09-07 15:00:00,2025-09-07,Hosa Road,238.0,15,6,9,-0.7071067811865471,-0.7071067811865479,1,0,0,0,0,0
2025-09-07 16:00:00,2025-09-07,Hosa Road,231.0,16,6,9,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0,0
2025-09-07 17:00:00,2025-09-07,Hosa Road,191.0,17,6,9,-0.9659258262890683,-0.25881904510252063,1,0,0,0,0,0
2025-09-07 18:00:00,2025-09-07,Hosa Road,147.0,18,6,9,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0
2025-09-07 19:00:00,2025-09-07,Hosa Road,91.0,19,6,9,-0.9659258262890684,0.2588190451025203,1,0,0,0,0,0
2025-09-07 20:00:00,2025-09-07,Hosa Road,82.0,20,6,9,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0
2025-09-07 21:00:00,2025-09-07,Hosa Road,24.0,21,6,9,-0.7071067811865477,0.7071067811865474,1,0,0,0,0,0
